company,fy,period,segment_std,summary,source_file,source_page
SK온,2026,1Q,배터리합계,"북미 판매량 소폭 증가, 유럽/아시아 물량 일부 회복으로 전분기 대비 영업적자 감소(-440.8→-349.2십억원, 합병법인 기준 -189.7→-145.1십억원). 2Q26 전망: 유럽 현지생산 장려정책/보조금에 따른 우호적 환경, 북미 ESS 수주 확대 목표에 따른 배터리 중장기 수익성 개선 기대",SK이노베이션_실적발표_1Q26_0513_final.pdf,7
SK이노베이션,2025,1Q,"소재(SKIET, 내부거래 제거 기준)","판매 증가, 전분기 일회성 비용 기저 등 영향으로 영업손실 194억원 개선(-74.2→-54.8십억원)",SK이노베이션_실적발표_1Q25 국문_F.pdf,14
SK이노베이션,2025,2Q,"소재(SKIET, 내부거래 제거 기준)",판매 물량 확대 효과로 영업손실 11억원 축소(-54.8→-53.7십억원),SK이노베이션_실적발표_2Q25 국문_F.pdf,14
SK이노베이션,2025,3Q,"소재(SKIET, 내부거래 제거 기준)",원가절감 등 영향으로 영업손실 36억원 축소(-53.7→-50.1십억원),SK이노베이션_실적발표_3Q25 국문.pdf,14
SK이노베이션,2025,4Q,"소재(SKIET, 내부거래 제거 기준)","美 전기차 보조금 폐지에 따른 영향으로 매출 감소, 북미向 물량 감소 및 연말 재고조정에 따른 전분기 대비 매출액 감소, 영업손실 확대(-50.1→-75.2십억원)",SK이노베이션_실적발표_4Q25 국문 (1).pdf,17
SK이노베이션,2025,4Q,전사,"석유(중동/아프리카 가동량 증가 등 영향은 3Q에 이어 유가하락 효과), E&S(SMP 하락) 등 사업부는 등락이 있었으나, 전사 세전이익을 무너뜨린 핵심 요인은 영업외손익 급격한 악화(QoQ -4,160.3십억원)임. 회사는 이를 별도 항목명(예: 자산손상차손, 지분법손실 등)으로 특정해 공시하지 않았으며, '(*) 당사 일부 사업 중단 및 매각 결정에 따라 해당 사업실적 소급하여 작성' 각주만 존재. 2026년 중점 추진과제에서 SK온 중국·미국 JV 구조 재편(SKOJ 지분 100%, BlueOval SK 테네시 공장 독자운영/생산능력 127→45GWh로 축소·가동시기 2025→2028로 연기)을 언급하여 정황상 배터리 관련 대규모 조정 가능성을 시사하나, 금액과 인과관계를 원문에서 직접 확인할 수 없음",SK이노베이션_실적발표_4Q25 국문 (1).pdf,9
SK이노베이션,2026,1Q,전사,"중동발 유가 상승에 따른 일회성 재고관련이익(SK에너지)으로 영업이익 급증(295.3→2,162.2십억원). 배터리(SK온)는 소폭 개선에 그침",SK이노베이션_실적발표_1Q26_0513_final.pdf,7
삼성SDI,2025,1Q,배터리합계,전기차 및 전동공구 고객 재고조정 영향과 ESS 계절적 비수기 요인으로 매출 감소. 가동률 하락·고정비 증가 부담으로 수익성 악화.,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2025,1Q,전자재료,OLED 소재 중심 수요 개선으로 매출 소폭 증가 및 수익성 개선.,2025.1Q_IR_Final_K.pdf,4
삼성SDI,2025,2Q,배터리합계,"매출은 전동공구용 및 AI 성장에 따른 ESS/BBU용 확판에도 불구, 전기차용 주요고객의 수요 둔화로 전분기 동등 수준 기록. 영업이익은 미주향 ESS 관세 영향과 전기차 주요 고객 보상 지연이 있었으나, 소형 배터리가 큰 폭으로 적자 축소하며 전분기 대비 소폭 개선.",2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2025,2Q,전자재료,"주요 고객 신규 스마트폰향 OLED 소재 판매 확대, 반도체 Wafer 생산 증가 영향 등으로 매출 증가 및 수익성 개선.",2025.2Q_IR_Final_Kr.pdf,4
삼성SDI,2025,3Q,배터리합계,"매출은 전기차용 배터리 판매 둔화 등으로 전분기 대비 감소. 영업이익은 소형 적자폭 감소에도 불구, 전기차용 매출 및 AMPC 감소, ESS 관세 영향 등으로 전분기 대비 적자폭 확대.",2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2025,3Q,전자재료,"주요 고객 신규 스마트폰향 OLED 소재, AI 서버향 반도체 소재 판매 확대로 매출 증가 및 수익성 개선.",2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2025,3Q,전사,"편광필름 사업 양도 Deal Closing으로 현금 1.1조원(매각대금) 확보, 재무 안정성 제고. 이에 따른 중단사업손익 2,686억원 인식으로 당기순이익이 QoQ 기준 흑자 전환(YoY로는 감소).",2025.3Q_IR_Final_Kr.pdf,4
삼성SDI,2025,4Q,배터리합계,"ESS 사상 최대 분기 매출 및 AMPC 증가, EV 물량 감소에 대한 보상 등으로 전분기 대비 매출 증가 및 적자폭 축소.",2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2025,4Q,전자재료,전분기와 유사한 실적 기록.,2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2025,FY,배터리합계,"친환경 정책 변화, 전략 고객의 판매 부진 등에 따른 EV 판매 감소, ESS 관세 부담, 소형 수요 회복 지연 영향 등으로 전년 대비 매출 감소 및 적자 전환.",2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2025,FY,전자재료,"반도체 소재 실적 개선에도 불구, OLED 소재 판매 감소로 전년 대비 매출 및 수익성 감소.",2025.4Q_IR_Final_Kr.pdf,4
삼성SDI,2026,1Q,배터리합계,"전력용 ESS, AI Data Center향 UPS·BBU, 전동공구 등 전방 시장 수요의 뚜렷한 회복세 속 전년 동기 대비 매출 증가. 美 현지생산 ESS 판매 증가, 고부가 원형 배터리 확판 등으로 전년 동기 및 전분기 대비 영업적자 축소.",2026.1Q_IR_Final_Kr.pdf,4
삼성SDI,2026,1Q,전자재료,"전방시장 호황 속 반도체 소재 판매 견조, Flagship 스마트폰향 디스플레이 소재 판매 반등으로 전년 동기 대비 실적 개선.",2026.1Q_IR_Final_Kr.pdf,4
LGES,2026,2Q,전사,"유럽향 EV 파우치 공급 확대, 전략 고객향 원통형 수요, 북미 ESS Capa의 순차 가동으로 매출이 전분기 대비 15% 증가했다. 고수익 원통형 Mix와 유럽 가동률 개선, 북미 ESS 물량 확대에 따른 고정비 부담 완화로 영업이익이 흑자 전환했다.",26_2Q_LGES_business_performance_F_KR.pdf,5
LGES,2026,2Q,EV,북미 EV 수요 약세는 이어졌지만 유럽 고전압 미드니켈과 아시아 하이니켈 제품 물량이 전분기 대비 두 자릿수 이상 성장해 매출이 증가했다.,26_2Q_Script.pdf,1
LGES,2026,2Q,소형,"전략 고객의 신규 EV 모델 판매 호조로 2170 출하가 견조했고, 46시리즈 출하량이 전분기 대비 60% 이상 증가해 매출이 확대됐다.",26_2Q_Script.pdf,1
LGES,2026,2Q,ESS,북미 생산거점의 순차 가동과 유럽 전력망 프로젝트 출하 본격화로 매출이 전분기 대비 약 30% 성장했다. 생산 보조금은 ESS 출하 확대 영향으로 전분기 대비 27% 증가했다.,26_2Q_Script.pdf,2
삼성SDI,2026,2Q,배터리합계,"UPS·BBU·전동공구용 고출력 제품과 유럽 EV 판매 확대로 매출이 전분기와 전년 동기 대비 증가했다. 고부가 제품 확대, 미국 AMPC 증가와 관세 영향 등으로 영업이익이 흑자 전환했다.",2026.2Q_IR_Final_Kr.pdf,4
삼성SDI,2026,2Q,전자재료,반도체 소재 판매가 견조했고 Foldable 스마트폰향 필름 소재를 중심으로 매출과 수익성이 개선됐다.,2026.2Q_IR_Final_Kr.pdf,4
