report_id,date,house,coverage,report_type,report_title,title_source,analyst,source_file,source_path,pages,source_exists
2026-03-11_삼성증권_삼성SDI,2026-03-11,삼성증권,삼성SDI,기업,연간 턴어라운드 기대 유효,파일명,장정훈,삼성증권_삼성SDI_연간 턴어라운드 기대 유효_20260311.pdf,inbox/삼성증권_삼성SDI_연간 턴어라운드 기대 유효_20260311.pdf,4,Y
2026-03-16_하나증권_산업,2026-03-16,하나증권,산업,산업,인터배터리가 투자자에게 주는 함의,파일명,김현수,하나증권_전자장비와기기_인터배터리가 투자자에게 주는 함의_20260316.pdf,inbox/하나증권_전자장비와기기_인터배터리가 투자자에게 주는 함의_20260316.pdf,53,Y
2026-03-18_미래에셋증권_LGES,2026-03-18,미래에셋증권,LGES,기업,26년 ESS 추정치 추가 상향 조정,파일명,김철중,미래에셋증권_LG에너지솔루션_26년 ESS 추정치 추가 상향 조정_20260318.pdf,inbox/미래에셋증권_LG에너지솔루션_26년 ESS 추정치 추가 상향 조정_20260318.pdf,5,Y
2026-03-18_미래에셋증권_삼성SDI,2026-03-18,미래에셋증권,삼성SDI,기업,26년 영업 흑자 전환 예상,파일명,김철중,미래에셋증권_삼성SDI_26년 영업 흑자 전환 예상_20260318.pdf,inbox/미래에셋증권_삼성SDI_26년 영업 흑자 전환 예상_20260318.pdf,5,Y
2026-03-23_NH투자증권_LGES,2026-03-23,NH투자증권,LGES,기업,테슬라 유럽 판매 회복에 대비할 필요,파일명,주민우,NH투자증권_LG에너지솔루션_테슬라 유럽 판매 회복에 대비할 필요_20260323.pdf,inbox/NH투자증권_LG에너지솔루션_테슬라 유럽 판매 회복에 대비할 필요_20260323.pdf,9,Y
2026-03-23_NH투자증권_삼성SDI,2026-03-23,NH투자증권,삼성SDI,기업,적자폭 축소 기대,파일명,주민우,NH투자증권_삼성SDI_적자폭 축소 기대_20260323.pdf,inbox/NH투자증권_삼성SDI_적자폭 축소 기대_20260323.pdf,8,Y
2026-03-24_키움증권_LGES,2026-03-24,키움증권,LGES,기업,휴머노이드 배터리 공급 확대,파일명,권준수,키움증권_LG에너지솔루션_휴머노이드 배터리 공급 확대_20260324.pdf,inbox/키움증권_LG에너지솔루션_휴머노이드 배터리 공급 확대_20260324.pdf,4,Y
2026-03-24_키움증권_삼성SDI,2026-03-24,키움증권,삼성SDI,기업,전고체 전지 모멘텀 기대,파일명,권준수,키움증권_삼성SDI_전고체 전지 모멘텀 기대_20260324.pdf,inbox/키움증권_삼성SDI_전고체 전지 모멘텀 기대_20260324.pdf,4,Y
2026-03-24_한화투자증권_LGES,2026-03-24,한화투자증권,LGES,기업,미국 ESS와 유럽 IAA로 회복 가시성 증가,파일명,이용욱,한화투자증권_LG에너지솔루션_미국 ESS와 유럽 IAA로 회복 가시성 증가_20260324.pdf,inbox/한화투자증권_LG에너지솔루션_미국 ESS와 유럽 IAA로 회복 가시성 증가_20260324.pdf,3,Y
2026-03-24_한화투자증권_삼성SDI,2026-03-24,한화투자증권,삼성SDI,기업,"EV 공백 메우는 ESS, IAA 수혜로 더해지는 기대감",파일명,이용욱,"한화투자증권_삼성SDI_EV 공백 메우는 ESS, IAA 수혜로 더해지는 기대감_20260324.pdf","inbox/한화투자증권_삼성SDI_EV 공백 메우는 ESS, IAA 수혜로 더해지는 기대감_20260324.pdf",3,Y
2026-03-25_다올투자증권_LGES,2026-03-25,다올투자증권,LGES,기업,"ESS 모멘텀 지속, EV 방향성 점차 개선",파일명,유지웅,"다올투자증권_LG에너지솔루션_ESS 모멘텀 지속, EV 방향성 점차 개선_20260325.pdf","inbox/다올투자증권_LG에너지솔루션_ESS 모멘텀 지속, EV 방향성 점차 개선_20260325.pdf",6,Y
2026-03-25_신영증권_삼성SDI,2026-03-25,신영증권,삼성SDI,기업,황화물계 전고체 전지 시장 선점 효과 기대,파일명,,신영증권_삼성SDI_황화물계 전고체 전지 시장 선점 효과 기대_20260325.pdf,inbox/신영증권_삼성SDI_황화물계 전고체 전지 시장 선점 효과 기대_20260325.pdf,3,Y
2026-03-30_교보증권_LGES,2026-03-30,교보증권,LGES,기업,1Q26 Preview 컨센서스 소폭 하회,파일명,최보영,교보증권_LG에너지솔루션_1Q26 Preview 컨센서스 소폭 하회_20260330.pdf,inbox/교보증권_LG에너지솔루션_1Q26 Preview 컨센서스 소폭 하회_20260330.pdf,4,Y
2026-03-30_교보증권_삼성SDI,2026-03-30,교보증권,삼성SDI,기업,1Q26 Preview 컨센서스 소폭 상회,파일명,최보영,교보증권_삼성SDI_1Q26 Preview 컨센서스 소폭 상회_20260330.pdf,inbox/교보증권_삼성SDI_1Q26 Preview 컨센서스 소폭 상회_20260330.pdf,4,Y
2026-03-31_신영증권_LGES,2026-03-31,신영증권,LGES,기업,"하방은 제한적, ESS가 이끄는 2026년",파일명,박진수,"신영증권_LG에너지솔루션_하방은 제한적, ESS가 이끄는 2026년_20260331.pdf","inbox/신영증권_LG에너지솔루션_하방은 제한적, ESS가 이끄는 2026년_20260331.pdf",5,Y
2026-04-01_DB증권_삼성SDI,2026-04-01,DB증권,삼성SDI,기업,1Q26 컨센서스 상회 전망,파일명,안회수,DB증권_삼성SDI_1Q26 컨센서스 상회 전망_20260401.pdf,inbox/DB증권_삼성SDI_1Q26 컨센서스 상회 전망_20260401.pdf,4,Y
2026-04-01_상상인증권_삼성SDI,2026-04-01,상상인증권,삼성SDI,기업,"1Q26 Preview - 북미거점 ESS 생산, 하반기 흑자전환 기대",파일명,유민기,"상상인증권_삼성SDI_1Q26 Preview - 북미거점 ESS 생산, 하반기 흑자전환 기대_20260401.pdf","inbox/상상인증권_삼성SDI_1Q26 Preview - 북미거점 ESS 생산, 하반기 흑자전환 기대_20260401.pdf",5,Y
2026-04-02_IBK투자증권_삼성SDI,2026-04-02,IBK투자증권,삼성SDI,기업,이제 호재가 터질 시기,파일명,이현욱,IBK투자증권_삼성SDI_이제 호재가 터질 시기_20260402.pdf,inbox/IBK투자증권_삼성SDI_이제 호재가 터질 시기_20260402.pdf,5,Y
2026-04-02_신한투자증권_LGES,2026-04-02,신한투자증권,LGES,기업,우려보다 기대를,파일명,"이진명, 김명주",신한투자증권_LG에너지솔루션_우려보다 기대를_20260402.pdf,inbox/신한투자증권_LG에너지솔루션_우려보다 기대를_20260402.pdf,7,Y
2026-04-02_유안타증권_삼성SDI,2026-04-02,유안타증권,삼성SDI,기업,하반기 흑전 + ESS 중심 수주 확대 기대,파일명,이안나,유안타증권_삼성SDI_하반기 흑전 + ESS 중심 수주 확대 기대_20260402.pdf,inbox/유안타증권_삼성SDI_하반기 흑전 + ESS 중심 수주 확대 기대_20260402.pdf,3,Y
2026-04-06_하나증권_산업,2026-04-06,하나증권,산업,산업,"Weekly 이배속  ESS 성장 지속, 기대감 없는 EV의 반등",파일명,김현수,"하나증권_전자장비와기기_Weekly 이배속  ESS 성장 지속, 기대감 없는 EV의 반등_20260406.pdf","inbox/하나증권_전자장비와기기_Weekly 이배속  ESS 성장 지속, 기대감 없는 EV의 반등_20260406.pdf",29,Y
2026-04-07_상상인증권_삼성SDI,2026-04-07,상상인증권,삼성SDI,기업,"북미ESS 성장 반영, 중장기 이익전망 상향",파일명,유민기,"상상인증권_삼성SDI_북미ESS 성장 반영, 중장기 이익전망 상향_20260407.pdf","inbox/상상인증권_삼성SDI_북미ESS 성장 반영, 중장기 이익전망 상향_20260407.pdf",6,Y
2026-04-08_DB증권_LGES,2026-04-08,DB증권,LGES,기업,1Q26 잠정실적 AMPC가 매출로,파일명,안회수,DB증권_LG에너지솔루션_1Q26 잠정실적 AMPC가 매출로_20260408.pdf,inbox/DB증권_LG에너지솔루션_1Q26 잠정실적 AMPC가 매출로_20260408.pdf,3,Y
2026-04-08_IBK투자증권_LGES,2026-04-08,IBK투자증권,LGES,기업,1Q26 잠정 실적 코멘트,파일명,이현욱,IBK투자증권_LG에너지솔루션_1Q26 잠정 실적 코멘트_20260408.pdf,inbox/IBK투자증권_LG에너지솔루션_1Q26 잠정 실적 코멘트_20260408.pdf,2,Y
2026-04-08_NH투자증권_LGES,2026-04-08,NH투자증권,LGES,기업,1Q26 실적 저점 확인,파일명,주민우,NH투자증권_LG에너지솔루션_1Q26 실적 저점 확인_20260408.pdf,inbox/NH투자증권_LG에너지솔루션_1Q26 실적 저점 확인_20260408.pdf,9,Y
2026-04-08_iM증권_LGES,2026-04-08,iM증권,LGES,기업,1Q26 저점으로 ESS 중심 실적 회복세 전망,파일명,정원석,iM증권_LG에너지솔루션_1Q26 저점으로 ESS 중심 실적 회복세 전망_20260408.pdf,inbox/iM증권_LG에너지솔루션_1Q26 저점으로 ESS 중심 실적 회복세 전망_20260408.pdf,6,Y
2026-04-08_교보증권_LGES,2026-04-08,교보증권,LGES,기업,1Q26 잠정실적,파일명,,교보증권_LG에너지솔루션_1Q26 잠정실적_20260408.pdf,inbox/교보증권_LG에너지솔루션_1Q26 잠정실적_20260408.pdf,2,Y
2026-04-08_교보증권_삼성SDI,2026-04-08,교보증권,삼성SDI,기업,1Q26 Preview,파일명,,교보증권_삼성SDI_1Q26 Preview_20260408.pdf,inbox/교보증권_삼성SDI_1Q26 Preview_20260408.pdf,3,Y
2026-04-08_다올투자증권_LGES,2026-04-08,다올투자증권,LGES,기업,1Q26 잠정실적 발표 시작은 다소 아쉬운,파일명,유지웅,다올투자증권_LG에너지솔루션_1Q26 잠정실적 발표 시작은 다소 아쉬운_20260408.pdf,inbox/다올투자증권_LG에너지솔루션_1Q26 잠정실적 발표 시작은 다소 아쉬운_20260408.pdf,2,Y
2026-04-08_메리츠증권_LGES,2026-04-08,메리츠증권,LGES,기업,1Q26P 잠정실적 발표,파일명,노우호,메리츠증권_LG에너지솔루션_1Q26P 잠정실적 발표_20260408.pdf,inbox/메리츠증권_LG에너지솔루션_1Q26P 잠정실적 발표_20260408.pdf,3,Y
2026-04-08_삼성증권_LGES,2026-04-08,삼성증권,LGES,기업,1Q26 잠정 실적 - 예상치 부합,파일명,조현렬,삼성증권_LG에너지솔루션_1Q26 잠정 실적 - 예상치 부합_20260408.pdf,inbox/삼성증권_LG에너지솔루션_1Q26 잠정 실적 - 예상치 부합_20260408.pdf,7,Y
2026-04-08_신영증권_LGES,2026-04-08,신영증권,LGES,기업,1분기 잠정 실적 코멘트,파일명,박진수,신영증권_LG에너지솔루션_1분기 잠정 실적 코멘트_20260408.pdf,inbox/신영증권_LG에너지솔루션_1분기 잠정 실적 코멘트_20260408.pdf,2,Y
2026-04-08_신한투자증권_LGES,2026-04-08,신한투자증권,LGES,기업,LG에너지솔루션 1Q26 잠정실적 발표,파일명,"이진명, 김명주",신한투자증권_LG에너지솔루션_LG에너지솔루션 1Q26 잠정실적 발표_20260408.pdf,inbox/신한투자증권_LG에너지솔루션_LG에너지솔루션 1Q26 잠정실적 발표_20260408.pdf,2,Y
2026-04-08_키움증권_LGES,2026-04-08,키움증권,LGES,기업,"1Q26 잠정 실적 리뷰 컨센서스 대비 매출은 상회, 영업이익은 하회",파일명,권준수,"키움증권_LG에너지솔루션_1Q26 잠정 실적 리뷰 컨센서스 대비 매출은 상회, 영업이익은 하회_20260408.pdf","inbox/키움증권_LG에너지솔루션_1Q26 잠정 실적 리뷰 컨센서스 대비 매출은 상회, 영업이익은 하회_20260408.pdf",3,Y
2026-04-08_하나증권_LGES,2026-04-08,하나증권,LGES,기업,EV 부진 지속,파일명,김현수,하나증권_LG에너지솔루션_EV 부진 지속_20260408.pdf,inbox/하나증권_LG에너지솔루션_EV 부진 지속_20260408.pdf,4,Y
2026-04-08_한화투자증권_LGES,2026-04-08,한화투자증권,LGES,기업,1Q26 잠정실적 코멘트 - EV 부진을 ESS로 빠르게 메우는 중,파일명,이용욱,한화투자증권_LG에너지솔루션_1Q26 잠정실적 코멘트 - EV 부진을 ESS로 빠르게 메우는 중_20260408.pdf,inbox/한화투자증권_LG에너지솔루션_1Q26 잠정실적 코멘트 - EV 부진을 ESS로 빠르게 메우는 중_20260408.pdf,4,Y
2026-04-08_흥국증권_삼성SDI,2026-04-08,흥국증권,삼성SDI,기업,ESS 생산 체제 안정화,파일명,정진수,흥국증권_삼성SDI_ESS 생산 체제 안정화_20260408.pdf,inbox/흥국증권_삼성SDI_ESS 생산 체제 안정화_20260408.pdf,5,Y
2026-04-09_LS증권_LGES,2026-04-09,LS증권,LGES,기업,"1분기 잠정 실적 기대치 하회, 회계기준 변경",파일명,정경희,"LS증권_LG에너지솔루션_1분기 잠정 실적 기대치 하회, 회계기준 변경_20260409.pdf","inbox/LS증권_LG에너지솔루션_1분기 잠정 실적 기대치 하회, 회계기준 변경_20260409.pdf",8,Y
2026-04-09_유안타증권_LGES,2026-04-09,유안타증권,LGES,기업,영업이익 기준 컨센서스 하회 실적 기록,파일명,이안나,유안타증권_LG에너지솔루션_영업이익 기준 컨센서스 하회 실적 기록_20260409.pdf,inbox/유안타증권_LG에너지솔루션_영업이익 기준 컨센서스 하회 실적 기록_20260409.pdf,3,Y
2026-04-09_흥국증권_LGES,2026-04-09,흥국증권,LGES,기업,ESS 성장 과도기,파일명,정진수,흥국증권_LG에너지솔루션_ESS 성장 과도기_20260409.pdf,inbox/흥국증권_LG에너지솔루션_ESS 성장 과도기_20260409.pdf,5,Y
2026-05-04_DB증권_LGES,2026-05-04,DB증권,LGES,기업,원통형 전지 활약에 주목,파일명,안회수,DB증권_LG에너지솔루션_원통형 전지 활약에 주목_20260504.pdf,inbox/DB증권_LG에너지솔루션_원통형 전지 활약에 주목_20260504.pdf,4,Y
2026-05-04_DS투자증권_LGES,2026-05-04,DS투자증권,LGES,기업,소형전지에 관심 필요,파일명,최태용,DS투자증권_LG에너지솔루션_소형전지에 관심 필요_20260504.pdf,inbox/DS투자증권_LG에너지솔루션_소형전지에 관심 필요_20260504.pdf,4,Y
2026-05-04_IBK투자증권_LGES,2026-05-04,IBK투자증권,LGES,기업,매 분기 성장 예정,파일명,이현욱,IBK투자증권_LG에너지솔루션_매 분기 성장 예정_20260504.pdf,inbox/IBK투자증권_LG에너지솔루션_매 분기 성장 예정_20260504.pdf,6,Y
2026-05-04_IBK투자증권_SK온,2026-05-04,IBK투자증권,SK온,기업,공급 충격의 누적이 시작됐다,파일명,이동욱,IBK투자증권_SK이노베이션_공급 충격의 누적이 시작됐다_20260504.pdf,inbox/IBK투자증권_SK이노베이션_공급 충격의 누적이 시작됐다_20260504.pdf,4,Y
2026-05-04_NH투자증권_LGES,2026-05-04,NH투자증권,LGES,기업,하반기부터 질적 개선,파일명,주민우,NH투자증권_LG에너지솔루션_하반기부터 질적 개선_20260504.pdf,inbox/NH투자증권_LG에너지솔루션_하반기부터 질적 개선_20260504.pdf,9,Y
2026-05-04_교보증권_LGES,2026-05-04,교보증권,LGES,기업,1Q26 Review ESS 체질 전환 가속화,파일명,최보영,교보증권_LG에너지솔루션_1Q26 Review ESS 체질 전환 가속화_20260504.pdf,inbox/교보증권_LG에너지솔루션_1Q26 Review ESS 체질 전환 가속화_20260504.pdf,4,Y
2026-05-04_다올투자증권_LGES,2026-05-04,다올투자증권,LGES,기업,1Q26 Review 업황은 턴 했다,파일명,유지웅,다올투자증권_LG에너지솔루션_1Q26 Review 업황은 턴 했다_20260504.pdf,inbox/다올투자증권_LG에너지솔루션_1Q26 Review 업황은 턴 했다_20260504.pdf,7,Y
2026-05-04_메리츠증권_LGES,2026-05-04,메리츠증권,LGES,기업,기회 요인,파일명,노우호,메리츠증권_LG에너지솔루션_기회 요인_20260504.pdf,inbox/메리츠증권_LG에너지솔루션_기회 요인_20260504.pdf,6,Y
2026-05-04_미래에셋증권_LGES,2026-05-04,미래에셋증권,LGES,기업,실적 바닥 통과 구간에 일어난 전쟁,파일명,"김철중, 정세훈",미래에셋증권_LG에너지솔루션_실적 바닥 통과 구간에 일어난 전쟁_20260504.pdf,inbox/미래에셋증권_LG에너지솔루션_실적 바닥 통과 구간에 일어난 전쟁_20260504.pdf,5,Y
2026-05-04_신영증권_LGES,2026-05-04,신영증권,LGES,기업,2분기부터 재차 증익 구간 진입,파일명,박진수,신영증권_LG에너지솔루션_2분기부터 재차 증익 구간 진입_20260504.pdf,inbox/신영증권_LG에너지솔루션_2분기부터 재차 증익 구간 진입_20260504.pdf,6,Y
2026-05-04_신한투자증권_LGES,2026-05-04,신한투자증권,LGES,기업,1분기가 저점,파일명,"이진명, 김명주",신한투자증권_LG에너지솔루션_1분기가 저점_20260504.pdf,inbox/신한투자증권_LG에너지솔루션_1분기가 저점_20260504.pdf,7,Y
2026-05-04_키움증권_LGES,2026-05-04,키움증권,LGES,기업,북미 ESS CAPA 역량에 주목할 필요,파일명,권준수,키움증권_LG에너지솔루션_북미 ESS CAPA 역량에 주목할 필요_20260504.pdf,inbox/키움증권_LG에너지솔루션_북미 ESS CAPA 역량에 주목할 필요_20260504.pdf,7,Y
2026-05-04_하나증권_LGES,2026-05-04,하나증권,LGES,기업,주가 하방 압력 제한적,파일명,김현수,하나증권_LG에너지솔루션_주가 하방 압력 제한적_20260504.pdf,inbox/하나증권_LG에너지솔루션_주가 하방 압력 제한적_20260504.pdf,4,Y
2026-05-04_한화투자증권_LGES,2026-05-04,한화투자증권,LGES,기업,"ESS의 가파른 성장과 46-Series 가세, 확실한 턴어라운드 진입",파일명,이용욱,"한화투자증권_LG에너지솔루션_ESS의 가파른 성장과 46-Series 가세, 확실한 턴어라운드 진입_20260504.pdf","inbox/한화투자증권_LG에너지솔루션_ESS의 가파른 성장과 46-Series 가세, 확실한 턴어라운드 진입_20260504.pdf",5,Y
2026-05-04_현대차증권_LGES,2026-05-04,현대차증권,LGES,기업,"아쉬운 1분기. 하지만, 방향성은 유효",파일명,강동진,"현대차증권_LG에너지솔루션_아쉬운 1분기. 하지만, 방향성은 유효_20260504.pdf","inbox/현대차증권_LG에너지솔루션_아쉬운 1분기. 하지만, 방향성은 유효_20260504.pdf",7,Y
2026-05-06_대신증권_LGES,2026-05-06,대신증권,LGES,기업,꽉 차 있는 수주 창고,파일명,김귀연,대신증권_LG에너지솔루션_꽉 차 있는 수주 창고_20260506.pdf,inbox/대신증권_LG에너지솔루션_꽉 차 있는 수주 창고_20260506.pdf,8,Y
2026-05-06_대신증권_삼성SDI,2026-05-06,대신증권,삼성SDI,기업,안정성에 성장성까지!,파일명,김귀연,대신증권_삼성SDI_안정성에 성장성까지!_20260506.pdf,inbox/대신증권_삼성SDI_안정성에 성장성까지!_20260506.pdf,8,Y
2026-05-06_유안타증권_LGES,2026-05-06,유안타증권,LGES,기업,불확실성 해소된 현 시점 투자매력도 높음,파일명,,유안타증권_LG에너지솔루션_불확실성 해소된 현 시점 투자매력도 높음_20260506.pdf,inbox/유안타증권_LG에너지솔루션_불확실성 해소된 현 시점 투자매력도 높음_20260506.pdf,3,Y
2026-05-06_유안타증권_삼성SDI,2026-05-06,유안타증권,삼성SDI,기업,"남아있는 모멘텀, 올해 셀 Top Pick 유지",파일명,,"유안타증권_삼성SDI_남아있는 모멘텀, 올해 셀 Top Pick 유지_20260506.pdf","inbox/유안타증권_삼성SDI_남아있는 모멘텀, 올해 셀 Top Pick 유지_20260506.pdf",4,Y
2026-05-06_유진투자증권_LGES,2026-05-06,유진투자증권,LGES,기업,ESS + 4680이 견인하는 실적,파일명,황성현,유진투자증권_LG에너지솔루션_ESS + 4680이 견인하는 실적_20260506.pdf,inbox/유진투자증권_LG에너지솔루션_ESS + 4680이 견인하는 실적_20260506.pdf,11,Y
2026-05-08_상상인증권_삼성SDI,2026-05-08,상상인증권,삼성SDI,기업,xEV 와 ESS 향 매출 동반성장을 기대,파일명,유민기,상상인증권_삼성SDI_xEV 와 ESS 향 매출 동반성장을 기대_20260508.pdf,inbox/상상인증권_삼성SDI_xEV 와 ESS 향 매출 동반성장을 기대_20260508.pdf,5,Y
2026-05-11_iM증권_LGES,2026-05-11,iM증권,LGES,기업,ESS 수주가 다 찼다,파일명,정원석,iM증권_LG에너지솔루션_ESS 수주가 다 찼다_20260511.pdf,inbox/iM증권_LG에너지솔루션_ESS 수주가 다 찼다_20260511.pdf,6,Y
2026-05-11_iM증권_SK온,2026-05-11,iM증권,SK온,기업,전 사업부에서 누리는 고유가 + ESS 확대 기회,파일명,전유진,iM증권_SK이노베이션_전 사업부에서 누리는 고유가 + ESS 확대 기회_20260511.pdf,inbox/iM증권_SK이노베이션_전 사업부에서 누리는 고유가 + ESS 확대 기회_20260511.pdf,9,Y
