house,market,coverage,selected_report_id,date,report_title,candidate_pages,age_days,freshness,selection_basis
iM증권,ESS,삼성SDI,2026-07-31_iM증권_삼성SDI,2026-07-31,ESS로의 사업 전환 가속화 전망,2,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
iM증권,EV,LGES,2026-07-31_iM증권_LGES,2026-07-31,하반기에도 ESS 중심 실적 개선세 지속,2,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
iM증권,EV,SK온,2026-07-31_iM증권_SK온,2026-07-31,두 번의 전쟁으로 완전히 꼬여 버린 에너지 수급,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
iM증권,EV,삼성SDI,2026-07-31_iM증권_삼성SDI,2026-07-31,ESS로의 사업 전환 가속화 전망,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
교보증권,ESS,LGES,2026-05-04_교보증권_LGES,2026-05-04,1Q26 Review ESS 체질 전환 가속화,1,88,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
교보증권,ESS,삼성SDI,2026-03-30_교보증권_삼성SDI,2026-03-30,1Q26 Preview 컨센서스 소폭 상회,1,123,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
교보증권,EV,LGES,2026-05-04_교보증권_LGES,2026-05-04,1Q26 Review ESS 체질 전환 가속화,1,88,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
교보증권,EV,삼성SDI,2026-03-30_교보증권_삼성SDI,2026-03-30,1Q26 Preview 컨센서스 소폭 상회,1,123,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
대신증권,ESS,LGES,2026-05-06_대신증권_LGES,2026-05-06,꽉 차 있는 수주 창고,2,86,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
대신증권,ESS,삼성SDI,2026-05-06_대신증권_삼성SDI,2026-05-06,안정성에 성장성까지!,1,86,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
대신증권,EV,LGES,2026-05-06_대신증권_LGES,2026-05-06,꽉 차 있는 수주 창고,2,86,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
대신증권,EV,삼성SDI,2026-05-06_대신증권_삼성SDI,2026-05-06,안정성에 성장성까지!,1,86,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
메리츠증권,ESS,LGES,2026-07-31_메리츠증권_LGES,2026-07-31,경쟁력 확보 준비 과정,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
메리츠증권,EV,LGES,2026-07-31_메리츠증권_LGES,2026-07-31,경쟁력 확보 준비 과정,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
버핏연구소,ESS,삼성SDI,2026-05-21_버핏연구소_삼성SDI,2026-05-21,이차전지 최악 업황 지나고 ESS 쑥쑥,1,71,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
버핏연구소,EV,삼성SDI,2026-05-21_버핏연구소_삼성SDI,2026-05-21,이차전지 최악 업황 지나고 ESS 쑥쑥,1,71,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
삼성증권,ESS,LGES,2026-07-30_삼성증권_LGES,2026-07-30,2Q26 review - ESS 성장통에도 이익 개선세 유효,1,1,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
삼성증권,ESS,삼성SDI,2026-07-31_삼성증권_삼성SDI,2026-07-31,관세 환입 영향 2분기 조기 흑자 전환,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
삼성증권,EV,LGES,2026-07-30_삼성증권_LGES,2026-07-30,2Q26 review - ESS 성장통에도 이익 개선세 유효,1,1,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
삼성증권,EV,삼성SDI,2026-07-31_삼성증권_삼성SDI,2026-07-31,관세 환입 영향 2분기 조기 흑자 전환,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
상상인증권,ESS,SK온,2026-01-29_상상인증권_SK온,2026-01-29,"배터리사업 부진, 그러나 개선 준비 중",1,183,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
상상인증권,ESS,삼성SDI,2026-05-08_상상인증권_삼성SDI,2026-05-08,xEV 와 ESS 향 매출 동반성장을 기대,1,84,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
상상인증권,EV,SK온,2026-01-29_상상인증권_SK온,2026-01-29,"배터리사업 부진, 그러나 개선 준비 중",1,183,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
상상인증권,EV,삼성SDI,2026-05-08_상상인증권_삼성SDI,2026-05-08,xEV 와 ESS 향 매출 동반성장을 기대,1,84,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
신영증권,ESS,LGES,2026-07-31_신영증권_LGES,2026-07-31,단기 눈높이는 낮춰도 방향성은 불변,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
신영증권,EV,LGES,2026-07-31_신영증권_LGES,2026-07-31,단기 눈높이는 낮춰도 방향성은 불변,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
신한투자증권,ESS,LGES,2026-07-31_신한투자증권_LGES,2026-07-31,늦어진 만큼 선명해진 회복,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
신한투자증권,EV,LGES,2026-07-31_신한투자증권_LGES,2026-07-31,늦어진 만큼 선명해진 회복,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
유안타증권,ESS,LGES,2026-05-06_유안타증권_LGES,2026-05-06,불확실성 해소된 현 시점 투자매력도 높음,1,86,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
유안타증권,ESS,삼성SDI,2026-06-24_유안타증권_삼성SDI,2026-06-24,ESS 전 라인업 중심으로 외형성장 지속,1,37,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
유안타증권,EV,LGES,2026-05-06_유안타증권_LGES,2026-05-06,불확실성 해소된 현 시점 투자매력도 높음,1,86,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
유안타증권,EV,삼성SDI,2026-06-24_유안타증권_삼성SDI,2026-06-24,ESS 전 라인업 중심으로 외형성장 지속,1,37,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
유진투자증권,ESS,LGES,2026-07-31_유진투자증권_LGES,2026-07-31,ESS가 이끄는 외형 성장,2,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
유진투자증권,ESS,SK온,2026-07-31_유진투자증권_SK온,2026-07-31,전쟁 수혜 + 배터리 보상금 반영,2,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
유진투자증권,ESS,산업,2026-05-17_유진투자증권_산업,2026-05-17,2H26 OUTLOOK 화려한 배터리 테마주 장세 시작,4,75,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
유진투자증권,EV,LGES,2026-07-31_유진투자증권_LGES,2026-07-31,ESS가 이끄는 외형 성장,2,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
유진투자증권,EV,SK온,2026-07-31_유진투자증권_SK온,2026-07-31,전쟁 수혜 + 배터리 보상금 반영,2,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
유진투자증권,EV,산업,2026-05-17_유진투자증권_산업,2026-05-17,2H26 OUTLOOK 화려한 배터리 테마주 장세 시작,2,75,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
키움증권,ESS,LGES,2026-07-31_키움증권_LGES,2026-07-31,"중장기 성장성 확인, 다만 단기 ESS 수익성 우려",1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
키움증권,ESS,삼성SDI,2026-07-31_키움증권_삼성SDI,2026-07-31,"분기 흑자전환 달성, 실적 개선 속도는 점검 필요",1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
키움증권,EV,LGES,2026-07-31_키움증권_LGES,2026-07-31,"중장기 성장성 확인, 다만 단기 ESS 수익성 우려",1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
키움증권,EV,삼성SDI,2026-07-31_키움증권_삼성SDI,2026-07-31,"분기 흑자전환 달성, 실적 개선 속도는 점검 필요",1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
하나증권,ESS,LGES,2026-07-31_하나증권_LGES,2026-07-31,하반기 강한 증익 모멘텀,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
하나증권,ESS,SK온,2026-05-14_하나증권_SK온,2026-05-14,단기 실적 변동성 vs. 중장기 호황,1,78,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
하나증권,ESS,산업,2026-06-08_하나증권_산업,2026-06-08,배터리 투자자가 준비해야 하는 3가지,3,53,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
하나증권,EV,LGES,2026-07-31_하나증권_LGES,2026-07-31,하반기 강한 증익 모멘텀,1,0,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
하나증권,EV,SK온,2026-05-14_하나증권_SK온,2026-05-14,단기 실적 변동성 vs. 중장기 호황,1,78,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
하나증권,EV,산업,2026-06-08_하나증권_산업,2026-06-08,배터리 투자자가 준비해야 하는 3가지,2,53,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
한화투자증권,ESS,LGES,2026-05-04_한화투자증권_LGES,2026-05-04,"ESS의 가파른 성장과 46-Series 가세, 확실한 턴어라운드 진입",1,88,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
한화투자증권,ESS,삼성SDI,2026-03-24_한화투자증권_삼성SDI,2026-03-24,"EV 공백 메우는 ESS, IAA 수혜로 더해지는 기대감",1,129,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
한화투자증권,EV,LGES,2026-05-04_한화투자증권_LGES,2026-05-04,"ESS의 가파른 성장과 46-Series 가세, 확실한 턴어라운드 진입",1,88,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
한화투자증권,EV,삼성SDI,2026-03-24_한화투자증권_삼성SDI,2026-03-24,"EV 공백 메우는 ESS, IAA 수혜로 더해지는 기대감",1,129,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
흥국증권,ESS,삼성SDI,2026-04-08_흥국증권_삼성SDI,2026-04-08,ESS 생산 체제 안정화,1,114,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
흥국증권,EV,삼성SDI,2026-04-08_흥국증권_삼성SDI,2026-04-08,ESS 생산 체제 안정화,1,114,최근 1년,동일 하우스·시장·커버리지에서 발간일 최신; 페이지 수·점수는 동률 보조
