source_group,source_file,source_ids,page,review_status,review_reason,reviewed_at,reviewed_by,extraction_status,extracted_row_count,target_index,notes
inbox,하나증권_전자장비와기기_배터리 징비록_20250516.pdf,2025-05-16_하나증권_산업,25,채택,미국·유럽 EV 배터리 연간 수요 본문 명시,2026-08-12,Codex,검증완료,6,시장,침투 가능 수요와 3사 CAPA는 이번 배치에서 제외
inbox,유진투자증권_전자장비와기기_2026 연간전망 2026년 희망의 K배터리 밸류체인_20251124.pdf,2025-11-24_유진투자증권_산업,7,보류,글로벌 합계는 동일 보고서 p4와 중복되고 국가별 막대 내부값은 미표시,2026-08-12,Codex,미추출,0,시장,눈대중 판독 방지를 위해 지역별 값 미추출
inbox,유진투자증권_전자장비와기기_2026 연간전망 2026년 희망의 K배터리 밸류체인_20251124.pdf,2025-11-24_유진투자증권_산업,11,보류,공급사 국적별 점유율로 지역별 시장 수요와 차원이 다름,2026-08-12,Codex,미추출,0,시장,공급사 국적 차원 스키마가 필요할 때 재검토
inbox,유진투자증권_전자장비와기기_2026 연간전망 2026년 희망의 K배터리 밸류체인_20251124.pdf,2025-11-24_유진투자증권_산업,12,채택,미국 BESS 연도별 신규 설치용량 라벨 명시,2026-08-12,Codex,검증완료,7,시장,2024~2030년
inbox,유진투자증권_전자장비와기기_2026 연간전망 2026년 희망의 K배터리 밸류체인_20251124.pdf,2025-11-24_유진투자증권_산업,14,채택,유럽 BESS 연도별 신규 설치용량 라벨 명시,2026-08-12,Codex,검증완료,7,시장,2024~2030년
inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,14,채택,유럽 BESS 수정 전망과 주거용·C&I·유틸리티 분해값 명시,2026-08-12,Codex,검증완료,12,시장,2025년 총량 32GWh와 용도별 합계 29.7GWh 불일치를 원문 그대로 보존
inbox,"LS증권_LG에너지솔루션_4월 EV향 data, DTE 수주 및 미국 ESS_20260602.pdf",2026-06-02_LS증권_LGES,7,채택,2025년 글로벌 ESS 인도량 550GWh 본문 명시,2026-08-12,Codex,검증완료,1,시장,SNE Research 인도량 기준
inbox,"LS증권_삼성SDI_4월 EV향 data, 역성장 지속 우려_20260605.pdf",2026-06-05_LS증권_삼성SDI,1,채택,미국 ESS와 AI 데이터센터향 수요의 2025·2030 값 명시,2026-08-12,Codex,검증완료,4,시장,2030 데이터센터 +40GWh는 보수적으로 40GWh 기록
inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,4,보류,글로벌 BESS CAGR 23% 요약은 이미 채택된 연간 설치 시계열에서 계산 가능한 중복 정보,2026-08-12,Codex,미추출,0,시장,별도 성장률 행을 만들지 않음
inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,15,채택,미국 BESS 연도별 신규 설치용량 2025~2030 라벨 명시,2026-08-12,Codex,검증완료,6,시장,legacy 112~117 연결 및 북미 오분류를 미국으로 교정
inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,18,채택,LGES·삼성SDI·SK온의 글로벌 BESS 생산능력 연간 라벨 명시,2026-08-12,Codex,검증완료,11,회사,공장별 지역·JV 구분이 없어 글로벌 합계 및 불명으로 보존
inbox,유진투자증권_전자장비와기기_2H26 OUTLOOK 화려한 배터리 테마주 장세 시작_20260517.pdf,2026-05-17_유진투자증권_산업,37,보류,소듐이온 화학계·지역별 생산 캐파로 EV와 ESS 애플리케이션이 분리되지 않음,2026-08-12,Codex,미추출,0,시장,현재 EV·ESS 시장 스키마 범위 밖
inbox,하나증권_전자장비와기기_배터리 투자자가 준비해야 하는 3가지_20260608.pdf,2026-06-08_하나증권_산업,3,보류,회사 생산능력이 두 자릿수 GWh로만 표현되어 정확한 수치가 없음,2026-08-12,Codex,미추출,0,회사,추정 범위를 임의 숫자로 변환하지 않음
inbox,하나증권_전자장비와기기_배터리 투자자가 준비해야 하는 3가지_20260608.pdf,2026-06-08_하나증권_산업,6,보류,2026년 5월 국가별 EV 판매량으로 연간 시장 데이터 범위가 아님,2026-08-12,Codex,미추출,0,시장,월간 데이터 보류
inbox,하나증권_전자장비와기기_배터리 투자자가 준비해야 하는 3가지_20260608.pdf,2026-06-08_하나증권_산업,7,보류,글로벌·미국·유럽·중국 ESS 수치가 2026년 4월 월간 및 YTD 기준,2026-08-12,Codex,미추출,0,시장,월간·YTD 데이터 보류
inbox,하나증권_전자장비와기기_배터리 투자자가 준비해야 하는 3가지_20260608.pdf,2026-06-08_하나증권_산업,13,보류,2026년 5월 미국 BEV 판매량으로 연간 시장 데이터 범위가 아님,2026-08-12,Codex,미추출,0,시장,월간 데이터 보류
inbox,DB증권_LG에너지솔루션_하반기 수주 모멘텀 집중으로 섹터 대장 확인_20260731.pdf,2026-07-31_DB증권_LGES,1,보류,재무 실적과 정성적 CAPA 확대 언급만 있고 판매량·생산능력 GWh 수치가 없음,2026-08-12,Codex,미추출,0,회사,수주 모멘텀과 금액은 회사 물량 스키마 범위 밖
inbox,DS투자증권_LG에너지솔루션_소형전지에 관심 필요_20260504.pdf,2026-05-04_DS투자증권_LGES,1,채택,얼티엄셀 2공장 10GWh ESS 전환 수치 명시,2026-08-12,Codex,검증완료,1,회사,파트너와 지분귀속 기준은 미공개로 보존
inbox,IBK투자증권_LG에너지솔루션_90 - 20 = 70_20260731.pdf,2026-07-31_IBK투자증권_LGES,1,채택,글로벌·지역·미국 공장별 ESS 생산능력 분해값 명시,2026-08-12,Codex,검증완료,10,회사,글로벌 68GWh와 지역·공장별 하위 합계를 계층적으로 보존
inbox,KB증권_LG에너지솔루션_상반기 바닥 확인_20260730.pdf,2026-07-30_KB증권_LGES,1,채택,연말 북미 ESS 생산능력 50GWh 이상 목표 명시,2026-08-12,Codex,검증완료,1,회사,50GWh를 최소 수준의 근사값으로 기록
inbox,"LS증권_LG에너지솔루션_4월 EV향 data, DTE 수주 및 미국 ESS_20260602.pdf",2026-06-02_LS증권_LGES,9,채택,2026년 동사 미국 ESS 판매 약 18GWh 명시,2026-08-12,Codex,검증완료,1,회사,동일 하우스의 시장 데이터 중복은 추가하지 않음
inbox,"LS증권_LG에너지솔루션_4월 EV향 data, DTE 수주 및 미국 ESS_20260602.pdf",2026-06-02_LS증권_LGES,12,채택,2026년 글로벌 ESS CAPA 60GWh 이상·북미 50GWh 목표 명시,2026-08-12,Codex,검증완료,2,회사,수주 140GWh와 신규 수주 목표 90GWh는 제외
inbox,iM증권_LG에너지솔루션_하반기에도 ESS 중심 실적 개선세 지속_20260731.pdf,2026-07-31_iM증권_LGES,1,보류,재무 실적과 정성 전망 중심이며 GWh 판매량·생산능력 라벨이 없음,2026-08-12,Codex,미추출,0,회사,금액과 증감률만으로 물량을 역산하지 않음
inbox,iM증권_LG에너지솔루션_하반기에도 ESS 중심 실적 개선세 지속_20260731.pdf,2026-07-31_iM증권_LGES,3,채택,전세계 AI 데이터센터향 ESS 수요 합계 라벨 2025·2027·2030년 명시,2026-08-12,Codex,검증완료,3,시장,회사 출하·미국 생산능력 내부 막대는 라벨이 없어 눈대중 판독 제외
inbox,교보증권_LG에너지솔루션_1Q26 Review ESS 체질 전환 가속화_20260504.pdf,2026-05-04_교보증권_LGES,1,보류,46시리즈 수주잔고 440GWh는 판매량·생산능력이 아님,2026-08-12,Codex,미추출,0,회사,재무 실적과 수주잔고를 물량 시계열로 전환하지 않음
inbox,대신증권_LG에너지솔루션_꽉 차 있는 수주 창고_20260506.pdf,2026-05-06_대신증권_LGES,1,채택,2026년 미국 ESS CAPA 20GWh에서 50GWh 확대 계획 명시,2026-08-12,Codex,검증완료,1,회사,연말 목표 50GWh만 정식 시계열로 기록
inbox,대신증권_LG에너지솔루션_꽉 차 있는 수주 창고_20260506.pdf,2026-05-06_대신증권_LGES,4,채택,미국 BESS 설치 수요와 LGES ESS향 AMPC 적용 물량 연간 라벨 명시,2026-08-12,Codex,검증완료,11,시장·회사,시장 6행·회사 5행; 설치출력 GW와 수주잔고는 제외
